Symbol,Current_Price,RSI,MR_Buy_Signal,MR_Sell_Signal,Mom_Buy_Signal,Mom_Sell_Signal,Combined_Buy_Signal,Combined_Sell_Signal,Strategy_Type,Confidence_Score,Signal_Strength
MRNA,26.0,45.86956345967377,0.2333333333333333,0.0,0.0,1.0,0.06999999999999999,0.8,MOMENTUM,0.75,0.8
AMD,126.38999938964844,64.87303198132264,0.0,0.5666666666666667,1.0,0.0,0.8,0.16999999999999998,MOMENTUM,0.75,0.8
MAR,257.9100036621094,39.024395231376396,0.3333333333333333,0.0,0.0,0.9999999999999999,0.09999999999999999,0.7999999999999999,MOMENTUM,0.75,0.7999999999999999
ORCL,211.10000610351562,88.66531502054336,0.0,0.6666666666666666,0.9,0.0,0.7200000000000001,0.5333333333333333,MOMENTUM,0.75,0.7200000000000001
FANG,151.02999877929688,66.96740623973426,0.0,0.4666666666666666,0.9,0.0,0.7200000000000001,0.13999999999999999,MOMENTUM,0.75,0.7200000000000001
COST,984.3599853515625,38.99967423818531,0.3166666666666667,0.0,0.0,0.8999999999999999,0.09500000000000001,0.72,MOMENTUM,0.75,0.72
HIMS,59.779998779296875,63.53287908632537,0.0,0.0,0.8,0.0,0.6400000000000001,0.0,MOMENTUM,0.75,0.6400000000000001
SOFI,14.899999618530273,66.44879671836247,0.0,0.35000000000000003,0.8,0.0,0.6400000000000001,0.10500000000000001,MOMENTUM,0.75,0.6400000000000001
WBD,10.760000228881836,66.85236302624409,0.0,0.5,0.8,0.0,0.6400000000000001,0.15,MOMENTUM,0.75,0.6400000000000001
PLTR,141.41000366210938,68.08511355119735,0.0,0.45,0.8,0.0,0.6400000000000001,0.135,MOMENTUM,0.75,0.6400000000000001
