Symbol,Current_Price,Buy_Signal_Strength,Sell_Signal_Strength,RSI,Z_Score,BB_Position,Volume_Ratio,Price_Change_5d,Price_Change_20d,Price_vs_SMA50,Price_vs_SMA200
ORCL,211.10000610351562,0.06666666666666667,0.6666666666666666,88.66531502054336,2.251135223408529,1.0627838058521324,1.6043560894293694,19.164557367622347,31.53467435858943,37.33046999355511,29.0668726721226
AMD,126.38999938964844,0.09999999999999999,0.5666666666666667,64.87303198132264,2.33649556308262,1.0841238907706552,2.5868803225334536,3.828140889022169,7.868909588450257,20.892995122777446,1.6401213402615467
LRCX,93.41000366210938,0.03333333333333333,0.55,72.99657326135997,2.0540059352933437,1.0135014838233356,1.2003519984987996,5.787089958939506,10.636033784762521,21.1364375826983,21.388655665632903
WBD,10.760000228881836,0.0,0.5,66.85236302624409,2.0030372218275696,1.0007593054568924,0.9659867588944453,12.906616268363358,17.467253363784273,19.47856043450105,14.197779153673862
FANG,151.02999877929688,0.06666666666666667,0.4666666666666666,66.96740623973426,1.7109904111354568,0.9277476027838641,1.619304604531363,6.261868423787442,7.014804473864267,10.828679188142697,-5.585565370821854
PLTR,141.41000366210938,0.0,0.45,68.08511355119735,2.020791363526311,1.0051978408815778,0.9348167384917763,7.080119851862876,9.180048639155691,22.686775198582044,78.87479239491849
MU,119.83999633789062,0.0,0.45,89.49494186633457,1.8171460357780709,0.9542865089445177,1.1771820297455444,8.012617966808588,22.28571054886799,35.483458600161796,25.848746576675286
KLAC,892.3800048828125,0.03333333333333333,0.45,78.33168589091935,1.9959526129615621,0.9989881532403905,1.3327298164760102,7.607716061581127,13.063977068529088,21.700493125277266,25.72184187311901
AMAT,176.5500030517578,0.0,0.4333333333333333,70.63935377421464,1.8774021743353821,0.9693505435838453,1.0028870969549157,3.9813946833915814,6.934842780920447,13.46528883128304,3.490971221160266
CSGP,81.94000244140625,0.0,0.4333333333333333,79.48510519719179,1.5187921891164984,0.8796980472791247,0.8677152165733537,3.8266654112129705,6.429412540568635,5.861533653340967,7.269915908859215
ON,53.880001068115234,0.0,0.3833333333333333,72.92213694498108,1.4757396045677238,0.868934901141931,0.7888092310107538,2.8636883723033746,19.94657895013956,28.253348201232754,-4.553967666960935
DIS,119.4800033569336,0.0,0.3833333333333333,74.92997041740998,1.7376909578675033,0.9344227394668759,1.0443262440303256,3.302783653702801,5.342977681027272,17.594493294513747,15.970728381729703
SOFI,14.899999618530273,0.0,0.35000000000000003,66.44879671836247,1.7326109723032261,0.9331527430758068,1.077285401062742,5.673753300829043,7.040226557938656,16.712617696874975,17.038989083275503
MSFT,479.1400146484375,0.0,0.3333333333333333,75.21180468097103,1.725550354714603,0.9313875886786508,0.8698159487688031,1.3516688838577373,5.474723454385444,12.095680424412825,14.500533496687495
DASH,221.72999572753906,0.0,0.3333333333333333,71.58975578875872,1.5016878882122768,0.8754219720530695,0.9588278818342475,1.9495103808382819,9.767324617593598,13.10492760146742,26.007616647477615
